step:0 top1:34.19% nums_selected:0 selected_percent:0.00% mAP:28.01% label_pre:38.82% select_pre:73.91%
step:1 top1:33.48% nums_selected:75 selected_percent:5.02% mAP:28.96% label_pre:41.90% select_pre:75.32%
step:2 top1:35.90% nums_selected:150 selected_percent:10.04% mAP:30.89% label_pre:42.44% select_pre:74.60%
step:3 top1:37.18% nums_selected:225 selected_percent:15.06% mAP:31.83% label_pre:43.44% select_pre:63.22%
step:4 top1:41.45% nums_selected:299 selected_percent:20.01% mAP:35.74% label_pre:45.72% select_pre:62.97%
step:5 top1:43.87% nums_selected:374 selected_percent:25.03% mAP:37.80% label_pre:49.26% select_pre:69.89%
step:6 top1:48.58% nums_selected:449 selected_percent:30.05% mAP:41.44% label_pre:53.35% select_pre:67.84%
step:7 top1:52.99% nums_selected:523 selected_percent:35.01% mAP:44.43% label_pre:56.09% select_pre:69.49%
step:8 top1:53.56% nums_selected:598 selected_percent:40.03% mAP:45.99% label_pre:56.22% select_pre:70.88%
step:9 top1:55.84% nums_selected:673 selected_percent:45.05% mAP:47.25% label_pre:57.03% select_pre:70.04%
step:10 top1:55.70% nums_selected:747 selected_percent:50.00% mAP:47.64% label_pre:58.50% select_pre:68.79%
step:11 top1:59.12% nums_selected:822 selected_percent:55.02% mAP:49.45% label_pre:61.45% select_pre:69.93%
step:12 top1:59.40% nums_selected:897 selected_percent:60.04% mAP:50.60% label_pre:61.78% select_pre:68.86%
step:13 top1:60.40% nums_selected:972 selected_percent:65.06% mAP:50.58% label_pre:62.78% select_pre:68.75%
step:14 top1:62.11% nums_selected:1046 selected_percent:70.01% mAP:53.19% label_pre:63.12% select_pre:65.95%
step:15 top1:61.68% nums_selected:1121 selected_percent:75.03% mAP:52.44% label_pre:62.65% select_pre:66.99%
step:16 top1:63.53% nums_selected:1196 selected_percent:80.05% mAP:53.50% label_pre:63.05% select_pre:66.06%
step:17 top1:63.39% nums_selected:1270 selected_percent:85.01% mAP:54.71% label_pre:63.45% select_pre:64.22%
step:18 top1:61.54% nums_selected:1345 selected_percent:90.03% mAP:52.93% label_pre:63.59% select_pre:63.59%
step:19 top1:65.38% nums_selected:1420 selected_percent:95.05% mAP:56.58% label_pre:63.99% select_pre:63.99%
step:20 top1:62.25% nums_selected:1494 selected_percent:100.00% mAP:52.86% label_pre:64.06% select_pre:64.06%

