step:0 top1:40.17% nums_selected:0 selected_percent:0.00% mAP:34.22% label_pre:47.39% select_pre:97.33%
step:1 top1:39.60% nums_selected:75 selected_percent:5.02% mAP:34.17% label_pre:48.93% select_pre:96.00%
step:2 top1:42.31% nums_selected:150 selected_percent:10.04% mAP:36.88% label_pre:48.39% select_pre:95.56%
step:3 top1:47.86% nums_selected:225 selected_percent:15.06% mAP:41.46% label_pre:51.47% select_pre:95.32%
step:4 top1:47.58% nums_selected:299 selected_percent:20.01% mAP:42.45% label_pre:54.69% select_pre:95.45%
step:5 top1:52.28% nums_selected:374 selected_percent:25.03% mAP:45.66% label_pre:55.49% select_pre:95.32%
step:6 top1:53.13% nums_selected:449 selected_percent:30.05% mAP:46.38% label_pre:57.43% select_pre:93.88%
step:7 top1:54.84% nums_selected:523 selected_percent:35.01% mAP:48.56% label_pre:59.64% select_pre:92.81%
step:8 top1:60.54% nums_selected:598 selected_percent:40.03% mAP:52.57% label_pre:62.38% select_pre:92.27%
step:9 top1:63.11% nums_selected:673 selected_percent:45.05% mAP:53.96% label_pre:65.06% select_pre:91.57%
step:10 top1:63.96% nums_selected:747 selected_percent:50.00% mAP:54.60% label_pre:65.46% select_pre:90.27%
step:11 top1:65.38% nums_selected:822 selected_percent:55.02% mAP:56.01% label_pre:66.53% select_pre:88.85%
step:12 top1:66.67% nums_selected:897 selected_percent:60.04% mAP:58.21% label_pre:67.74% select_pre:86.93%
step:13 top1:68.38% nums_selected:972 selected_percent:65.06% mAP:58.83% label_pre:67.47% select_pre:85.47%
step:14 top1:68.52% nums_selected:1046 selected_percent:70.01% mAP:59.39% label_pre:68.61% select_pre:83.94%
step:15 top1:71.08% nums_selected:1121 selected_percent:75.03% mAP:61.41% label_pre:69.54% select_pre:81.19%
step:16 top1:70.37% nums_selected:1196 selected_percent:80.05% mAP:61.42% label_pre:69.48% select_pre:78.90%
step:17 top1:68.38% nums_selected:1270 selected_percent:85.01% mAP:59.56% label_pre:69.75% select_pre:75.76%
step:18 top1:70.23% nums_selected:1345 selected_percent:90.03% mAP:61.31% label_pre:69.68% select_pre:72.75%
step:19 top1:71.65% nums_selected:1420 selected_percent:95.05% mAP:62.12% label_pre:69.95% select_pre:69.95%
step:20 top1:69.52% nums_selected:1494 selected_percent:100.00% mAP:60.74% label_pre:69.95% select_pre:69.95%
