step:1 top1:38.46% nums_selected:0 selected_percent:0.00% mAP:31.89% label_pre:44.85% select_pre:100.00%
step:2 top1:36.47% nums_selected:1 selected_percent:0.07% mAP:31.03% label_pre:44.71% select_pre:96.00%
step:3 top1:37.75% nums_selected:50 selected_percent:3.35% mAP:32.68% label_pre:46.92% select_pre:96.94%
step:4 top1:42.59% nums_selected:98 selected_percent:6.56% mAP:36.37% label_pre:49.67% select_pre:95.89%
step:5 top1:43.02% nums_selected:146 selected_percent:9.77% mAP:36.97% label_pre:50.60% select_pre:96.91%
step:6 top1:45.87% nums_selected:194 selected_percent:12.99% mAP:38.85% label_pre:52.48% select_pre:97.52%
step:7 top1:47.72% nums_selected:242 selected_percent:16.20% mAP:41.10% label_pre:54.48% select_pre:97.24%
step:8 top1:49.57% nums_selected:290 selected_percent:19.41% mAP:42.98% label_pre:54.62% select_pre:96.76%
step:9 top1:51.42% nums_selected:339 selected_percent:22.69% mAP:44.59% label_pre:55.29% select_pre:96.12%
step:10 top1:52.56% nums_selected:387 selected_percent:25.90% mAP:45.47% label_pre:57.50% select_pre:96.32%
step:11 top1:54.99% nums_selected:435 selected_percent:29.12% mAP:47.99% label_pre:58.37% select_pre:95.45%
step:12 top1:54.99% nums_selected:483 selected_percent:32.33% mAP:47.39% label_pre:60.04% select_pre:95.29%
step:13 top1:59.97% nums_selected:531 selected_percent:35.54% mAP:51.13% label_pre:61.51% select_pre:94.82%
step:14 top1:59.26% nums_selected:579 selected_percent:38.76% mAP:51.04% label_pre:63.52% select_pre:94.90%
step:15 top1:61.97% nums_selected:628 selected_percent:42.03% mAP:52.43% label_pre:63.39% select_pre:94.53%
step:16 top1:63.68% nums_selected:676 selected_percent:45.25% mAP:53.65% label_pre:64.73% select_pre:94.34%
step:17 top1:64.81% nums_selected:724 selected_percent:48.46% mAP:55.02% label_pre:66.13% select_pre:93.13%
step:18 top1:67.09% nums_selected:772 selected_percent:51.67% mAP:56.59% label_pre:67.40% select_pre:92.68%
step:19 top1:66.95% nums_selected:820 selected_percent:54.89% mAP:56.87% label_pre:67.14% select_pre:91.94%
step:20 top1:67.38% nums_selected:868 selected_percent:58.10% mAP:57.29% label_pre:68.88% select_pre:90.84%
step:21 top1:67.66% nums_selected:917 selected_percent:61.38% mAP:58.72% label_pre:68.34% select_pre:90.26%
step:22 top1:67.95% nums_selected:965 selected_percent:64.59% mAP:58.42% label_pre:69.48% select_pre:88.94%
step:23 top1:70.51% nums_selected:1013 selected_percent:67.80% mAP:60.78% label_pre:69.41% select_pre:87.46%
step:24 top1:68.95% nums_selected:1061 selected_percent:71.02% mAP:60.11% label_pre:70.08% select_pre:85.57%
step:25 top1:68.66% nums_selected:1109 selected_percent:74.23% mAP:59.77% label_pre:69.88% select_pre:84.10%
step:26 top1:70.66% nums_selected:1157 selected_percent:77.44% mAP:61.45% label_pre:70.68% select_pre:82.59%
step:27 top1:70.51% nums_selected:1206 selected_percent:80.72% mAP:61.18% label_pre:70.41% select_pre:81.26%
step:28 top1:71.79% nums_selected:1254 selected_percent:83.94% mAP:62.54% label_pre:70.75% select_pre:79.42%
step:29 top1:71.51% nums_selected:1302 selected_percent:87.15% mAP:62.90% label_pre:71.42% select_pre:77.70%
step:30 top1:71.79% nums_selected:1350 selected_percent:90.36% mAP:62.29% label_pre:71.62% select_pre:75.54%
step:31 top1:71.51% nums_selected:1398 selected_percent:93.57% mAP:62.21% label_pre:71.55% select_pre:73.65%
step:32 top1:70.66% nums_selected:1446 selected_percent:96.79% mAP:61.92% label_pre:71.75% select_pre:71.75%
step:33 top1:70.66% nums_selected:1494 selected_percent:100.00% mAP:62.04% label_pre:71.75% select_pre:71.75%
