step:0 top1:81.48% mAP:75.61% 
step:1 top1:79.77% mAP:74.60% 
step:2 top1:80.91% mAP:75.47% 
step:3 top1:80.63% mAP:74.64% 
step:4 top1:79.49% mAP:73.18% 
step:5 top1:81.05% mAP:75.07% 
step:6 top1:80.20% mAP:74.56% 
step:7 top1:80.63% mAP:75.41% 
step:8 top1:79.63% mAP:74.78% 
step:9 top1:78.63% mAP:74.10% 
step:10 top1:78.63% mAP:73.10% 
step:11 top1:80.06% mAP:73.97% 
step:12 top1:81.20% mAP:75.36% 
step:13 top1:81.05% mAP:74.59% 
step:14 top1:78.35% mAP:73.31% 
step:15 top1:80.77% mAP:75.50% 
step:16 top1:81.34% mAP:75.04% 
step:17 top1:79.91% mAP:74.80% 
step:18 top1:79.91% mAP:73.79% 
step:19 top1:79.20% mAP:74.17% 
step:20 top1:77.64% mAP:72.43% 
step:21 top1:80.34% mAP:74.80% 
step:22 top1:82.05% mAP:75.62% 
step:23 top1:80.06% mAP:75.37% 
step:24 top1:80.34% mAP:74.98% 
step:25 top1:80.20% mAP:74.59% 
step:26 top1:81.77% mAP:75.74% 
step:27 top1:79.77% mAP:73.84% 
step:28 top1:81.20% mAP:75.53% 
step:29 top1:79.91% mAP:74.29% 
