step:0 nums_to_select:0 top1:36.61% mAP:31.67% 
step:1 nums_to_select:45 top1:37.46% mAP:32.34% 
step:2 nums_to_select:90 top1:42.59% mAP:37.56% 
step:3 nums_to_select:135 top1:45.87% mAP:38.97% 
step:4 nums_to_select:180 top1:47.01% mAP:40.89% 
step:5 nums_to_select:225 top1:51.00% mAP:44.23% 
step:6 nums_to_select:269 top1:52.99% mAP:45.63% 
step:7 nums_to_select:314 top1:54.13% mAP:46.44% 
step:8 nums_to_select:359 top1:54.70% mAP:47.42% 
step:9 nums_to_select:404 top1:58.83% mAP:52.00% 
step:10 nums_to_select:449 top1:63.82% mAP:54.61% 
step:11 nums_to_select:494 top1:64.96% mAP:56.25% 
step:12 nums_to_select:538 top1:63.96% mAP:57.48% 
step:13 nums_to_select:583 top1:67.52% mAP:60.02% 
step:14 nums_to_select:628 top1:67.66% mAP:60.65% 
step:15 nums_to_select:673 top1:69.66% mAP:61.88% 
step:16 nums_to_select:718 top1:68.95% mAP:60.88% 
step:17 nums_to_select:762 top1:70.66% mAP:63.83% 
step:18 nums_to_select:807 top1:70.51% mAP:63.55% 
step:19 nums_to_select:852 top1:73.08% mAP:65.16% 
step:20 nums_to_select:897 top1:72.65% mAP:66.10% 
step:21 nums_to_select:942 top1:72.36% mAP:65.73% 
step:22 nums_to_select:987 top1:75.07% mAP:68.38% 
step:23 nums_to_select:1031 top1:75.50% mAP:68.21% 
step:24 nums_to_select:1076 top1:74.93% mAP:68.80% 
step:25 nums_to_select:1121 top1:76.35% mAP:69.72% 
step:26 nums_to_select:1166 top1:76.78% mAP:69.60% 
step:27 nums_to_select:1211 top1:77.49% mAP:71.11% 
step:28 nums_to_select:1255 top1:78.63% mAP:71.88% 
step:29 nums_to_select:1300 top1:79.63% mAP:72.68% 
step:30 nums_to_select:1345 top1:78.49% mAP:72.57% 
step:31 nums_to_select:1390 top1:80.20% mAP:74.39% 
step:32 nums_to_select:1435 top1:80.63% mAP:74.76% 
step:33 nums_to_select:1480 top1:80.91% mAP:74.56% 
step:34 nums_to_select:1494 top1:80.91% mAP:74.81% 
