step:0 nums_to_select:0 top1:34.19% mAP:28.91% 
step:1 nums_to_select:75 top1:38.18% mAP:33.54% 
step:2 nums_to_select:150 top1:49.00% mAP:42.30% 
step:3 nums_to_select:225 top1:49.00% mAP:42.46% 
step:4 nums_to_select:299 top1:54.13% mAP:47.04% 
step:5 nums_to_select:374 top1:57.83% mAP:50.14% 
step:6 nums_to_select:449 top1:62.54% mAP:54.01% 
step:7 nums_to_select:523 top1:62.39% mAP:55.07% 
step:8 nums_to_select:598 top1:66.24% mAP:58.15% 
step:9 nums_to_select:673 top1:67.09% mAP:60.31% 
step:10 nums_to_select:747 top1:69.94% mAP:63.23% 
step:11 nums_to_select:822 top1:72.93% mAP:65.67% 
step:12 nums_to_select:897 top1:73.93% mAP:65.80% 
step:13 nums_to_select:972 top1:75.07% mAP:67.65% 
step:14 nums_to_select:1046 top1:76.07% mAP:68.52% 
step:15 nums_to_select:1121 top1:77.78% mAP:71.20% 
step:16 nums_to_select:1196 top1:78.06% mAP:71.74% 
step:17 nums_to_select:1270 top1:77.92% mAP:71.75% 
step:18 nums_to_select:1345 top1:78.63% mAP:73.03% 
step:19 nums_to_select:1420 top1:79.34% mAP:73.74% 
step:20 nums_to_select:1494 top1:78.92% mAP:74.04% 
