step:0 nums_to_select:0 top1:35.61% mAP:30.82% 
step:1 nums_to_select:30 top1:35.19% mAP:30.06% 
step:2 nums_to_select:60 top1:39.32% mAP:33.21% 
step:3 nums_to_select:90 top1:40.17% mAP:34.79% 
step:4 nums_to_select:120 top1:44.30% mAP:38.12% 
step:5 nums_to_select:150 top1:48.43% mAP:41.90% 
step:6 nums_to_select:180 top1:49.00% mAP:43.09% 
step:7 nums_to_select:210 top1:49.72% mAP:43.15% 
step:8 nums_to_select:240 top1:52.42% mAP:44.57% 
step:9 nums_to_select:269 top1:50.00% mAP:43.16% 
step:10 nums_to_select:299 top1:53.85% mAP:47.18% 
step:11 nums_to_select:329 top1:56.13% mAP:48.46% 
step:12 nums_to_select:359 top1:56.98% mAP:49.76% 
step:13 nums_to_select:389 top1:60.83% mAP:52.42% 
step:14 nums_to_select:419 top1:63.39% mAP:54.99% 
step:15 nums_to_select:449 top1:61.54% mAP:54.59% 
step:16 nums_to_select:479 top1:63.11% mAP:55.95% 
step:17 nums_to_select:508 top1:64.67% mAP:56.69% 
step:18 nums_to_select:538 top1:63.11% mAP:55.48% 
step:19 nums_to_select:568 top1:66.24% mAP:58.78% 
step:20 nums_to_select:598 top1:64.25% mAP:57.18% 
step:21 nums_to_select:628 top1:66.38% mAP:59.44% 
step:22 nums_to_select:658 top1:68.95% mAP:61.53% 
step:23 nums_to_select:688 top1:67.66% mAP:60.21% 
step:24 nums_to_select:718 top1:69.80% mAP:61.95% 
step:25 nums_to_select:747 top1:72.93% mAP:64.18% 
step:26 nums_to_select:777 top1:70.37% mAP:62.95% 
step:27 nums_to_select:807 top1:71.51% mAP:64.71% 
step:28 nums_to_select:837 top1:73.79% mAP:66.89% 
step:29 nums_to_select:867 top1:74.93% mAP:67.85% 
step:30 nums_to_select:897 top1:75.64% mAP:68.19% 
step:31 nums_to_select:927 top1:73.93% mAP:67.32% 
step:32 nums_to_select:957 top1:74.64% mAP:67.90% 
step:33 nums_to_select:987 top1:74.93% mAP:68.32% 
step:34 nums_to_select:1016 top1:76.64% mAP:68.82% 
step:35 nums_to_select:1046 top1:75.36% mAP:69.61% 
step:36 nums_to_select:1076 top1:77.35% mAP:70.69% 
step:37 nums_to_select:1106 top1:76.07% mAP:69.46% 
step:38 nums_to_select:1136 top1:78.35% mAP:71.88% 
step:39 nums_to_select:1166 top1:78.35% mAP:71.13% 
step:40 nums_to_select:1196 top1:78.77% mAP:72.43% 
step:41 nums_to_select:1226 top1:78.06% mAP:71.84% 
step:42 nums_to_select:1255 top1:78.35% mAP:72.71% 
step:43 nums_to_select:1285 top1:78.06% mAP:72.27% 
step:44 nums_to_select:1315 top1:79.34% mAP:73.11% 
step:45 nums_to_select:1345 top1:78.77% mAP:72.89% 
step:46 nums_to_select:1375 top1:80.20% mAP:74.43% 
step:47 nums_to_select:1405 top1:79.49% mAP:74.05% 
step:48 nums_to_select:1435 top1:82.19% mAP:75.88% 
step:49 nums_to_select:1465 top1:80.91% mAP:74.50% 
step:50 nums_to_select:1494 top1:79.63% mAP:73.50% 
